,isComment,tweet_id,text,date,username,retweeted_status,retweet_count,likes,comments,comments_ids
1328278277233004549,False,1328278277233004549,Wow https://t.co/lEpHZdk0CH,2020-11-16 10:06:34+00:00,cw3161,True,1,0,{'number of replies found': 0},[]
1328273821133131776,False,1328273821133131776,Ceci est un test,2020-11-16 09:48:51+00:00,cw3161,True,1,0,{'number of replies found': 0},[]
1327973930968248322,False,1327973930968248322,petit test https://t.co/q0CsgHB1wV,2020-11-15 13:57:12+00:00,cw3161,False,0,0,{'number of replies found': 0},[]
1326809280251650049,False,1326809280251650049,Je retweet parce que j'approuve ce qui a été dit https://t.co/7ZzKTCtavC,2020-11-12 08:49:17+00:00,cw3161,True,2,0,{'number of replies found': 0},[]
1326088800943157248,False,1326088800943157248,"Si ce Premier tweet s'affiche, la fonction fonctionne",2020-11-10 09:06:22+00:00,cw3161,True,1,1,{'number of replies found': 0},[]
1447652242534776832,False,1447652242534776832,@eddiepearson ...but a good qual method should be able to get at whys &amp; wherefores of what people might actually do… https://t.co/QKwfVGx81G,2021-10-11 19:56:05+00:00,cydharrell,False,0,1,{'number of replies found': 0},[]
1447652052197273600,False,1447652052197273600,@eddiepearson so they're not worried about large scale qual research (I'm assuming no one is doing 25M interviews)… https://t.co/InkCU0k16Z,2021-10-11 19:55:19+00:00,cydharrell,False,0,1,{'number of replies found': 0},[]
1447651536398544896,False,1447651536398544896,"@EthanZ @sivavaid absolutely! (sorry, I thought at least one of those reports was from an interview study - more su… https://t.co/0SvX5GEuXR",2021-10-11 19:53:16+00:00,cydharrell,False,0,1,{'number of replies found': 0},[]
1447649242089082880,False,1447649242089082880,"@eddiepearson right, but are they saying quant can't? that's nonsense, so the comparison is really situational I th… https://t.co/Qm8Tn7asYt",2021-10-11 19:44:09+00:00,cydharrell,False,0,2,{'number of replies found': 0},[]
1447647922078642178,False,1447647922078642178,"@sivavaid @EthanZ it's not a great bind to be in, &amp; of course industry user research doesn't meet as high a standar… https://t.co/EedPiUK3Ab",2021-10-11 19:38:55+00:00,cydharrell,False,0,0,{'number of replies found': 0},[]
