id,date,text
Martin Lorance,2014-12-30 11:32:18+00:00,"Top Reasons to Visit Thailand
http://t.co/EQVzpkVXEm http://t.co/BhDHCEJPNX"
Martin Lorance,2014-12-30 11:31:50+00:00,"Top Places to visit in Melbourne Florida
http://t.co/Hg9tIQ5OIM http://t.co/sCDAI6p1I4"
Martin Lorance,2014-12-30 11:31:10+00:00,"Top Islands in Malaysia for Travelers
http://t.co/yjc7tb09yj http://t.co/A5GL3FWrx3"
Martin Lorance,2014-12-30 09:53:46+00:00,Thailand is an ideal destination for tourist seeking an exotic getaway. The country is popular for its historical... http://t.co/6635VXE7Kk
Martin Lorance,2014-12-30 09:51:47+00:00,Melbourne is known to be one of the Florida’s most ancient cities that are full of history. It is also a city of... http://t.co/b6P9MFlYiT
Martin Lorance,2014-12-30 09:51:12+00:00,One of the main reasons that make Malaysia to stand out among other popular tourist attractions is due to its... http://t.co/dWDJToOcZa
Martin Lorance,2014-12-06 09:59:38+00:00,"RT @TwavelTweeter: Is a #cashew a fruit or a nut? http://t.co/H3p2cDTDYM #TravelBoldly #Rio de Janeiro, #Brazil"
Martin Lorance,2014-12-06 09:59:36+00:00,RT @Roamancing: More on ... in the afternoon. #PubHoppingOntheSketchySide of #Victoria! Now we need to sleep!  Alarm coming too soon!
Martin Lorance,2014-12-06 09:59:34+00:00,RT @mrdavidwhitley: @Aerohaveno Yep. I'm pretty much blocked up until mid-Feb. But after that it'll go dry as I've got to be at home for at…
Martin Lorance,2014-12-06 09:59:31+00:00,RT @Aerohaveno: @mrdavidwhitley Always frustrating. At least this year I've scored a number of articles to write during the brain-dead seas…
Martin Lorance,2014-12-06 09:59:29+00:00,"RT @mrdavidwhitley: Well, looking through that gargantuan list of unpaid invoices has put me thoroughly into the festive spirit."
Martin Lorance,2014-12-06 09:59:27+00:00,RT @Bairdtravels: Edinburgh at Christmas http://t.co/wPm63x0XuF
Martin Lorance,2014-12-06 09:59:17+00:00,RT @GALLERY_PIECES: http://t.co/FKSKVT5N2f http://t.co/WlbMYXwBYA ☼
Martin Lorance,2014-12-06 09:59:13+00:00,RT @journeyjottings: The Journey Jottings Daily is out! http://t.co/fJiaONqOK7 Stories via @cre8ive3dom @Write_On_It @SiripalaBot
Martin Lorance,2014-12-06 09:59:09+00:00,RT @skconcepts: What Is Your Social Media Value Proposition? http://t.co/TFDJR76sYJ via @SteamFeedcom
Martin Lorance,2014-12-06 09:59:06+00:00,"RT @keighleybus: ROADWORKS -SAT 6/SUN 7 DEC - SERVICE 66/66A From 9am Holme Lane,Crosshills closed buses to divert shuttle bus to run http:…"
Martin Lorance,2014-12-06 09:59:05+00:00,RT @OrnaOR: 7 Really Great Resources That Will Prepare You For Italy http://t.co/nLCLTYAQCQ via @dirtyfilthyME
Martin Lorance,2014-12-06 09:59:03+00:00,"RT @ExperienceEgypt: #DYK that #Jesus &amp; #Virgin #Mary were among #Egypt's early #tourists?
#Visit_Egypt &amp; #follow the #HolyFamilyTrail :) h…"
Martin Lorance,2014-12-02 09:07:18+00:00,"For some people, staying in hostels is their number one choice. This is probably because they love the companies... http://t.co/wCID7ZpYjj"
Martin Lorance,2014-12-01 07:17:46+00:00,RT @RandomlyRachels: Check out our itinerary and budget for our trip to #Oahu #travelbloggers http://t.co/39vKh0fMOc
Martin Lorance,2014-12-01 07:17:32+00:00,"RT @IntrepidEscape: RT Do you like #streetart? Check out the best street art cities, according to travel bloggers! http://t.co/dryzDaQnXh v…"
Martin Lorance,2014-12-01 07:17:24+00:00,RT @NomadBeautiful: The best cities for street art - chosen by travel bloggers http://t.co/ZQAtUSq3tE via @mywanderlustpl
Martin Lorance,2014-12-01 07:17:21+00:00,RT @globetrooper: The Globetrooper Daily is out! http://t.co/cowGmOofCL Stories via @nomadicchick @thefutureisred @ramblingtart
Martin Lorance,2014-12-01 07:17:17+00:00,"RT @BackpacknTravel: This looks like a good spot for a swim! :o
#travel #TravelPics #travelbloggers #backpacking #orlando #Florida http://t…"
Martin Lorance,2014-12-01 07:17:15+00:00,RT @GoatsOnTheRoad: Want to #Travel Forever? 10 Methods for ANYONE wanting to make $$ abroad! http://t.co/GnMgpzQtn6  #makemoney  #ttot #es…
Martin Lorance,2014-12-01 07:17:13+00:00,RT @SeduniaTravel: We had an awesome time at the Travel Bloggers Meetup 2014! Stay tuned for a look into the event :) #TBM2014 #Malaysia #t…
Martin Lorance,2014-12-01 07:17:11+00:00,"RT @calleysofalley: Before you start your week, read my #blog at http://t.co/6fooNHKHzd ! #travelbloggers #ttot #writingismylife #travel"
Martin Lorance,2014-12-01 07:17:09+00:00,RT @elsiedelilah: I'm a 90's Girl Lookbook   http://t.co/gjBGtMhpkd #fbloggers #lbloggers #travelbloggers
Martin Lorance,2014-12-01 07:17:04+00:00,"RT @surfingplanet: do you like #streetart? Check out the best street art cities, according to travel bloggers! http://t.co/8VlUmskoW2 via @…"
Martin Lorance,2014-12-01 07:17:02+00:00,"RT @footnotesnfinds: New Post // India trip &gt;&gt;http://t.co/oyyALkGl5C

#travelbloggers #travel #travelpics @TheBlogGuideRT @FemaleBloggerRT …"
ceil miller bouchet,2020-08-14 01:33:46+00:00,@MediacomSupport URGENT my 91-year-old parents in Iowa City have had no service since the storm. Mom has been stand… https://t.co/sr8l7eEG6F
ceil miller bouchet,2020-04-24 13:15:29+00:00,"@jesuisbookgirl @All @Accor I agree. @Accor and @All you need to address this bad customer service now, please. Eve… https://t.co/ivxh0OYWCG"
ceil miller bouchet,2020-04-23 22:12:25+00:00,"@All @Accor because of Covid19 we aren’t traveling to France for an event that will NOT be reacheduled. Yes, I book… https://t.co/USrRnSCigi"
ceil miller bouchet,2020-04-23 13:45:35+00:00,Beautiful words by one of my favorite writers 🌈⁦@indagaretravel⁩  https://t.co/Es936Icnzb
ceil miller bouchet,2020-04-18 13:26:56+00:00,@All I look forward to hearing from you about our cash refund—did you receive the email and reservation number I sent you via DM?
